location,week_start,new_cases,new_deaths,new_tests,new_vaccinations,new_cases_per_million_calc,new_deaths_per_million_calc,new_cases_7d_avg,new_deaths_7d_avg,new_cases_per_million_7d_avg,new_deaths_per_million_7d_avg,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,hosp_patients,hosp_patients_per_million,icu_patients,icu_patients_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,reproduction_rate,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,iso_code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,location_type,pandemic_period,year,quarter,month,iso_week
Europe,2019-12-30,2.0,3.0,,,0.0013363369412595512,0.0020045054118893266,1.5,0.75,0.0020045054118893266,0.0010022527059446633,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0013370679,0.0040112035,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,1,1
Europe,2020-01-06,1.0,0.0,,,0.00019090527732279304,0.0,0.42585034013605444,0.5295918367346939,0.0005690795409717545,0.0007077131352180683,0.30357143249999996,0.000405895615,0.339285715,0.00045364804,,,,,,,,,,,,,,,2.0,3.0,0.0026741358,0.0040112035,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,1,2
Europe,2020-01-13,2.0,0.0,,,0.0003818105546455861,0.0,0.08163265306122448,0.0,0.00010908872989873888,0.0,0.08163265714285714,0.00010914840000000001,0.0,0.0,,,,,,,,,,,,,,,4.0,3.0,0.0053482717,0.0040112035,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,1,3
Europe,2020-01-20,5.0,3.0,,,0.0009545263866139652,0.0005727158319683791,0.3469387755102041,0.061224489795918366,0.00046362710206964027,8.181654742405416e-05,0.34693878999999994,0.00046388070000000003,0.06122449,8.18613e-05,,,,,,,,,,,,,,,9.0,6.0,0.012033612,0.008022407,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,1,4
Europe,2020-01-27,21.0,4.0,,,0.004009010823778654,0.0007636211092911722,1.2857142857142858,0.4693877551020408,0.0017181474959051372,0.0006272601969177485,1.2857142942857143,0.0017190872857142856,0.4693877642857142,0.0006276033,,,,,,,,,,,,,,,30.0,10.0,0.040112037,0.013370679,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,1,5
Europe,2020-02-03,54.0,1.0,,,0.010308884975430824,0.00019090527732279304,5.204081632653062,0.5918367346938777,0.006954406531044603,0.0007908932917658569,5.2040817142857145,0.006958210471428571,0.5918367528571428,0.0007913258999999999,,,,,,,,,,,,,,,84.0,11.0,0.1123137,0.014707747,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,2,6
Europe,2020-02-10,21.0,1.0,,,0.004009010823778653,0.00019090527732279304,6.204081632653062,0.04081632653061224,0.008290743472304154,5.454436494936944e-05,6.2040818571428575,0.008295278685714285,0.04081632857142857,5.4574200000000003e-05,,,,,,,,,,,,,,,105.0,12.0,0.14039212,0.016044814,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,2,7
Europe,2020-02-17,99.0,3.0,,,0.01889962245495651,0.0005727158319683791,4.040816326530612,0.18367346938775508,0.0053998921299875735,0.0002454496422721625,4.040816442857143,0.005402845942857143,0.1836734757142857,0.0002455839,,,,,,,,,,,,,,,204.0,15.0,0.27276185,0.020056019,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,2,8
Europe,2020-02-24,1493.0,29.0,,,0.28502157904292996,0.005536253042360997,90.12244897959184,2.2653061224489797,0.12043395780820772,0.0030272122546900035,90.12244857142856,0.12049983857142856,2.265306104285714,0.0030288680999999997,,,,,,,,,,,,,,,1697.0,44.0,2.2690043,0.058830988,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,2,9
Europe,2020-03-02,9198.0,255.0,,,1.7559467408150502,0.048680845717312224,608.1428571428571,16.93877551020408,0.8126837655631299,0.022635911453988317,608.1428514285715,0.8131282928571428,16.93877557142857,0.022648293357142857,,,,,,,,,,,,,,,10895.0,299.0,14.567355,0.3997833,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,3,10
Europe,2020-03-09,45689.0,1947.0,,,8.722271215601092,0.37169257494747804,2961.387755102041,129.89795918367346,3.95741185453655,0.17358744145136823,2961.387757142857,3.959576485714286,129.89795857142857,0.17368239157142856,,,,,,,,,,,,,,,56584.0,2246.0,75.656654,3.0030546,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,3,11
Europe,2020-03-16,121516.0,8124.0,,,23.198045679156515,1.5509144729703706,9694.551020408164,538.3265306122449,12.955186657496906,0.7193856293172335,9694.550914285715,12.962272857142858,538.32652,0.71977913,,,,,,,,,,,,,,,178100.0,10370.0,238.13179,13.865395,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,3,12
