location,iso_code,location_type,date,year,quarter,quarter_label,pandemic_period,gdp_growth_quarterly_percent,employment_growth_quarterly_percent,government_debt_percent_gdp,government_deficit_surplus_percent_gdp
European Union,EU27,eu_reference,2018-01-01,2018,1,2018 Q1,2020-2022,0.2,0.4,81.4,-0.2
European Union,EU27,eu_reference,2018-04-01,2018,2,2018 Q2,2020-2022,0.6,0.5,80.8,-0.1
European Union,EU27,eu_reference,2018-07-01,2018,3,2018 Q3,2020-2022,0.2,0.2,80.7,-0.5
European Union,EU27,eu_reference,2018-10-01,2018,4,2018 Q4,2020-2022,0.6,0.1,79.5,-0.7
European Union,EU27,eu_reference,2019-01-01,2019,1,2019 Q1,2020-2022,0.8,0.5,79.8,-0.2
European Union,EU27,eu_reference,2019-04-01,2019,2,2019 Q2,2020-2022,0.5,0.4,79.6,-0.3
European Union,EU27,eu_reference,2019-07-01,2019,3,2019 Q3,2020-2022,0.2,0.1,79.0,-0.7
European Union,EU27,eu_reference,2019-10-01,2019,4,2019 Q4,2020-2022,0.0,0.1,77.5,-0.7
European Union,EU27,eu_reference,2020-01-01,2020,1,2020 Q1,2020-2022,-2.9,-0.2,79.0,-2.9
European Union,EU27,eu_reference,2020-04-01,2020,2,2020 Q2,2020-2022,-10.8,-2.7,87.1,-11.7
European Union,EU27,eu_reference,2020-07-01,2020,3,2020 Q3,2020-2022,10.8,1.0,89.0,-6.1
European Union,EU27,eu_reference,2020-10-01,2020,4,2020 Q4,2020-2022,0.5,0.6,89.5,-6.6
European Union,EU27,eu_reference,2021-01-01,2021,1,2021 Q1,2020-2022,0.9,0.0,91.5,-6.2
European Union,EU27,eu_reference,2021-04-01,2021,2,2021 Q2,2020-2022,2.1,0.9,89.7,-5.9
European Union,EU27,eu_reference,2021-07-01,2021,3,2021 Q3,2020-2022,1.7,1.0,88.7,-3.5
European Union,EU27,eu_reference,2021-10-01,2021,4,2021 Q4,2020-2022,1.0,0.5,86.7,-3.1
European Union,EU27,eu_reference,2022-01-01,2022,1,2022 Q1,2020-2022,0.7,0.5,86.2,-2.3
European Union,EU27,eu_reference,2022-04-01,2022,2,2022 Q2,2020-2022,0.8,0.6,85.0,-2.2
European Union,EU27,eu_reference,2022-07-01,2022,3,2022 Q3,2020-2022,0.4,0.2,83.6,-3.6
European Union,EU27,eu_reference,2022-10-01,2022,4,2022 Q4,2020-2022,-0.2,0.4,82.4,-4.4
European Union,EU27,eu_reference,2023-01-01,2023,1,2023 Q1,2023-2026,0.1,0.4,82.2,-3.1
European Union,EU27,eu_reference,2023-04-01,2023,2,2023 Q2,2023-2026,0.1,0.3,81.8,-3.2
European Union,EU27,eu_reference,2023-07-01,2023,3,2023 Q3,2023-2026,0.1,0.1,81.2,-3.5
European Union,EU27,eu_reference,2023-10-01,2023,4,2023 Q4,2023-2026,0.1,0.3,80.5,-3.9
European Union,EU27,eu_reference,2024-01-01,2024,1,2024 Q1,2023-2026,0.4,0.3,81.0,-2.9
European Union,EU27,eu_reference,2024-04-01,2024,2,2024 Q2,2023-2026,0.3,0.1,81.2,-3.2
European Union,EU27,eu_reference,2024-07-01,2024,3,2024 Q3,2023-2026,0.4,0.1,81.3,-3.0
