location,iso_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,quarter,month,iso_week,week_start,pandemic_period,location_type,mobility_restriction_index
Poland,PL,2020-02-15,7.0,-1.0,26.0,4.0,0.0,-1.0,2020,1,2,7,2020-02-10,2020-2022,comparison_country,3.6666666666666665
Poland,PL,2020-02-16,12.0,-13.0,18.0,6.0,-2.0,0.0,2020,1,2,7,2020-02-10,2020-2022,comparison_country,5.333333333333333
Poland,PL,2020-02-17,6.0,1.0,20.0,1.0,1.0,0.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,2.6666666666666665
Poland,PL,2020-02-18,3.0,-1.0,13.0,-1.0,1.0,1.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,1.0
Poland,PL,2020-02-19,5.0,0.0,13.0,-1.0,1.0,0.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,1.6666666666666667
Poland,PL,2020-02-20,7.0,1.0,23.0,3.0,1.0,0.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,3.6666666666666665
Poland,PL,2020-02-21,1.0,-2.0,-3.0,-3.0,1.0,0.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,-0.3333333333333333
Poland,PL,2020-02-22,3.0,-1.0,16.0,2.0,2.0,0.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,2.3333333333333335
Poland,PL,2020-02-23,-7.0,-25.0,-30.0,-2.0,-3.0,1.0,2020,1,2,8,2020-02-17,2020-2022,comparison_country,-4.0
Poland,PL,2020-02-24,1.0,1.0,-4.0,3.0,8.0,-1.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,4.0
Poland,PL,2020-02-25,1.0,2.0,5.0,5.0,8.0,0.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,4.666666666666667
