location,week_start,iso_code,location_type,pandemic_period,year,quarter,month,iso_week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mobility_restriction_index
Poland,2020-02-10,PL,comparison_country,2020-2022,2020,1,2,7,9.5,-7.0,22.0,5.0,-1.0,-0.5,4.5
Poland,2020-02-17,PL,comparison_country,2020-2022,2020,1,2,8,2.5714285714285716,-3.857142857142857,7.428571428571429,-0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0
Poland,2020-02-24,PL,comparison_country,2020-2022,2020,1,2,9,2.4285714285714284,0.8571428571428571,6.428571428571429,4.571428571428571,6.714285714285714,0.0,4.571428571428571
Poland,2020-03-02,PL,comparison_country,2020-2022,2020,1,3,10,6.714285714285714,4.0,8.285714285714286,4.571428571428571,7.857142857142857,-0.42857142857142855,6.3809523809523805
Poland,2020-03-09,PL,comparison_country,2020-2022,2020,1,3,11,-21.857142857142858,1.4285714285714286,-8.714285714285714,-20.285714285714285,-6.571428571428571,5.0,-16.238095238095237
Poland,2020-03-16,PL,comparison_country,2020-2022,2020,1,3,12,-57.285714285714285,-29.571428571428573,-17.857142857142858,-56.285714285714285,-35.714285714285715,15.714285714285714,-49.76190476190476
Poland,2020-03-23,PL,comparison_country,2020-2022,2020,1,3,13,-60.0,-32.714285714285715,-34.285714285714285,-61.42857142857143,-39.857142857142854,17.571428571428573,-53.76190476190476
Poland,2020-03-30,PL,comparison_country,2020-2022,2020,1,3,14,-61.0,-23.714285714285715,-51.857142857142854,-64.42857142857143,-40.57142857142857,18.857142857142858,-55.33333333333333
Poland,2020-04-06,PL,comparison_country,2020-2022,2020,2,4,15,-59.857142857142854,-36.42857142857143,-46.142857142857146,-62.857142857142854,-46.857142857142854,18.428571428571427,-56.52380952380952
Poland,2020-04-13,PL,comparison_country,2020-2022,2020,2,4,16,-65.0,-45.57142857142857,-50.857142857142854,-65.28571428571429,-45.42857142857143,19.571428571428573,-58.57142857142857
Poland,2020-04-20,PL,comparison_country,2020-2022,2020,2,4,17,-49.285714285714285,-10.428571428571429,7.571428571428571,-54.0,-33.142857142857146,13.714285714285714,-45.476190476190474
Poland,2020-04-27,PL,comparison_country,2020-2022,2020,2,4,18,-50.57142857142857,-27.0,14.142857142857142,-54.42857142857143,-39.57142857142857,13.285714285714286,-48.19047619047619
Poland,2020-05-04,PL,comparison_country,2020-2022,2020,2,5,19,-34.57142857142857,-12.0,26.285714285714285,-44.0,-25.857142857142858,9.428571428571429,-34.80952380952381
Poland,2020-05-11,PL,comparison_country,2020-2022,2020,2,5,20,-32.714285714285715,-11.285714285714286,11.571428571428571,-43.57142857142857,-23.142857142857142,9.428571428571429,-33.142857142857146
Poland,2020-05-18,PL,comparison_country,2020-2022,2020,2,5,21,-23.285714285714285,-9.285714285714286,29.428571428571427,-39.57142857142857,-19.714285714285715,7.857142857142857,-27.523809523809522
Poland,2020-05-25,PL,comparison_country,2020-2022,2020,2,5,22,-19.285714285714285,-5.714285714285714,29.285714285714285,-36.42857142857143,-16.142857142857142,6.857142857142857,-23.952380952380953
Poland,2020-06-01,PL,comparison_country,2020-2022,2020,2,6,23,-12.857142857142858,-3.2857142857142856,61.857142857142854,-30.0,-12.428571428571429,4.714285714285714,-18.428571428571427
Poland,2020-06-08,PL,comparison_country,2020-2022,2020,2,6,24,-10.857142857142858,-6.142857142857143,112.85714285714286,-29.285714285714285,-24.714285714285715,4.571428571428571,-21.619047619047617
Poland,2020-06-15,PL,comparison_country,2020-2022,2020,2,6,25,-8.714285714285714,-1.7142857142857142,60.857142857142854,-26.857142857142858,-12.0,3.4285714285714284,-15.857142857142858
Poland,2020-06-22,PL,comparison_country,2020-2022,2020,2,6,26,2.4285714285714284,0.3333333333333333,90.42857142857143,-19.0,-9.428571428571429,1.4285714285714286,-8.666666666666668
Poland,2020-06-29,PL,comparison_country,2020-2022,2020,2,6,27,-0.14285714285714285,3.0,113.71428571428571,-17.285714285714285,-12.571428571428571,0.5714285714285714,-10.0
Poland,2020-07-06,PL,comparison_country,2020-2022,2020,3,7,28,3.2857142857142856,6.571428571428571,106.0,-16.285714285714285,-14.285714285714286,0.7142857142857143,-9.095238095238097
Poland,2020-07-13,PL,comparison_country,2020-2022,2020,3,7,29,5.142857142857143,5.571428571428571,146.14285714285714,-14.142857142857142,-16.285714285714285,0.2857142857142857,-8.428571428571429
Poland,2020-07-20,PL,comparison_country,2020-2022,2020,3,7,30,5.428571428571429,6.857142857142857,164.85714285714286,-13.285714285714286,-17.714285714285715,-0.5714285714285714,-8.523809523809524
Poland,2020-07-27,PL,comparison_country,2020-2022,2020,3,7,31,6.285714285714286,8.0,182.57142857142858,-11.428571428571429,-20.0,-0.42857142857142855,-8.380952380952381
Poland,2020-08-03,PL,comparison_country,2020-2022,2020,3,8,32,4.142857142857143,6.428571428571429,177.14285714285714,-13.714285714285714,-22.285714285714285,0.2857142857142857,-10.619047619047619
Poland,2020-08-10,PL,comparison_country,2020-2022,2020,3,8,33,4.857142857142857,3.7142857142857144,209.85714285714286,-13.0,-27.714285714285715,-0.7142857142857143,-11.952380952380953
Poland,2020-08-17,PL,comparison_country,2020-2022,2020,3,8,34,4.714285714285714,5.857142857142857,159.28571428571428,-14.142857142857142,-20.714285714285715,0.0,-10.047619047619047
Poland,2020-08-24,PL,comparison_country,2020-2022,2020,3,8,35,10.428571428571429,25.285714285714285,115.42857142857143,-13.714285714285714,-16.285714285714285,0.42857142857142855,-6.523809523809525
Poland,2020-08-31,PL,comparison_country,2020-2022,2020,3,8,36,1.4285714285714286,2.0,75.14285714285714,-11.571428571428571,-16.142857142857142,0.42857142857142855,-8.761904761904763
Poland,2020-09-07,PL,comparison_country,2020-2022,2020,3,9,37,3.4285714285714284,5.714285714285714,107.71428571428571,-6.428571428571429,-14.285714285714286,-3.2857142857142856,-5.761904761904762
Poland,2020-09-14,PL,comparison_country,2020-2022,2020,3,9,38,1.7142857142857142,3.2857142857142856,106.85714285714286,-7.714285714285714,-9.285714285714286,-2.7142857142857144,-5.095238095238095
Poland,2020-09-21,PL,comparison_country,2020-2022,2020,3,9,39,-6.857142857142857,-2.0,59.0,-11.714285714285714,-9.142857142857142,0.14285714285714285,-9.238095238095239
Poland,2020-09-28,PL,comparison_country,2020-2022,2020,3,9,40,-6.428571428571429,-0.42857142857142855,39.0,-9.285714285714286,-6.714285714285714,0.42857142857142855,-7.476190476190475
Poland,2020-10-05,PL,comparison_country,2020-2022,2020,4,10,41,-11.0,-1.0,32.857142857142854,-13.142857142857142,-7.142857142857143,1.2857142857142858,-10.428571428571429
Poland,2020-10-12,PL,comparison_country,2020-2022,2020,4,10,42,-19.857142857142858,-6.285714285714286,-5.571428571428571,-25.428571428571427,-13.142857142857142,5.571428571428571,-19.476190476190478
Poland,2020-10-19,PL,comparison_country,2020-2022,2020,4,10,43,-25.0,-5.571428571428571,20.714285714285715,-28.714285714285715,-16.857142857142858,6.571428571428571,-23.523809523809522
Poland,2020-10-26,PL,comparison_country,2020-2022,2020,4,10,44,-33.285714285714285,-9.428571428571429,9.571428571428571,-34.42857142857143,-26.0,9.0,-31.238095238095237
Poland,2020-11-02,PL,comparison_country,2020-2022,2020,4,11,45,-32.42857142857143,-10.0,-2.142857142857143,-39.0,-25.0,10.0,-32.142857142857146
Poland,2020-11-09,PL,comparison_country,2020-2022,2020,4,11,46,-40.42857142857143,-15.428571428571429,6.285714285714286,-43.57142857142857,-33.0,12.571428571428571,-39.0
Poland,2020-11-16,PL,comparison_country,2020-2022,2020,4,11,47,-38.0,-11.571428571428571,-10.142857142857142,-41.0,-24.0,10.571428571428571,-34.33333333333333
Poland,2020-11-23,PL,comparison_country,2020-2022,2020,4,11,48,-34.285714285714285,-11.285714285714286,-16.0,-40.142857142857146,-21.857142857142858,9.714285714285714,-32.095238095238095
Poland,2020-11-30,PL,comparison_country,2020-2022,2020,4,11,49,-18.285714285714285,13.285714285714286,-11.428571428571429,-34.42857142857143,-17.571428571428573,8.571428571428571,-23.428571428571427
Poland,2020-12-07,PL,comparison_country,2020-2022,2020,4,12,50,-20.285714285714285,11.857142857142858,-14.0,-34.57142857142857,-17.285714285714285,8.571428571428571,-24.047619047619047
Poland,2020-12-14,PL,comparison_country,2020-2022,2020,4,12,51,-13.714285714285714,22.857142857142858,-7.142857142857143,-29.428571428571427,-16.0,7.857142857142857,-19.714285714285715
