location,iso_code,location_type,date,year,month,month_label,pandemic_period,production_monthly_change_percent,cpih_12mo_change_percent,house_price_average_value,house_price_annual_change_percent,unemployment_percent
United Kingdom,GBR,main_country_economy,2018-01-01,2018,1,2018-01,2020-2022,-1.7,2.7,224543.7559,4.321261299,4.2
United Kingdom,GBR,main_country_economy,2018-01-01,2018,1,2018-01,2020-2022,-1.7,2.7,224543.7559,4.321261299,4.2
United Kingdom,GBR,main_country_economy,2018-02-01,2018,2,2018-02,2020-2022,-0.3,2.5,225131.191,4.373586512,4.2
United Kingdom,GBR,main_country_economy,2018-03-01,2018,3,2018-03,2020-2022,0.4,2.3,223772.1802,3.96579378,4.2
United Kingdom,GBR,main_country_economy,2018-04-01,2018,4,2018-04,2020-2022,1.2,2.2,225910.188,3.32443302,4.0
United Kingdom,GBR,main_country_economy,2018-04-01,2018,4,2018-04,2020-2022,1.2,2.2,225910.188,3.32443302,4.2
United Kingdom,GBR,main_country_economy,2018-05-01,2018,5,2018-05,2020-2022,1.0,2.3,226833.8665,3.128024088,4.0
United Kingdom,GBR,main_country_economy,2018-06-01,2018,6,2018-06,2020-2022,2.6,2.3,228355.3098,2.939967195,4.0
United Kingdom,GBR,main_country_economy,2018-07-01,2018,7,2018-07,2020-2022,0.0,2.3,231187.016,2.878205695,4.1
United Kingdom,GBR,main_country_economy,2018-07-01,2018,7,2018-07,2020-2022,0.0,2.3,231187.016,2.878205695,4.0
United Kingdom,GBR,main_country_economy,2018-08-01,2018,8,2018-08,2020-2022,1.2,2.4,231897.7019,2.728618793,4.1
United Kingdom,GBR,main_country_economy,2018-09-01,2018,9,2018-09,2020-2022,0.4,2.2,231454.2502,2.916574322,4.1
United Kingdom,GBR,main_country_economy,2018-10-01,2018,10,2018-10,2020-2022,0.8,2.2,231211.2302,2.718397552,4.0
United Kingdom,GBR,main_country_economy,2018-10-01,2018,10,2018-10,2020-2022,0.8,2.2,231211.2302,2.718397552,4.0
United Kingdom,GBR,main_country_economy,2018-11-01,2018,11,2018-11,2020-2022,0.5,2.2,230224.3035,2.571424617,4.0
United Kingdom,GBR,main_country_economy,2018-12-01,2018,12,2018-12,2020-2022,0.1,2.0,229729.2591,1.95237295,3.9
United Kingdom,GBR,main_country_economy,2019-01-01,2019,1,2019-01,2020-2022,0.7,1.8,228314.4927,1.679288212,3.8
United Kingdom,GBR,main_country_economy,2019-01-01,2019,1,2019-01,2020-2022,0.7,1.8,228314.4927,1.679288212,3.9
United Kingdom,GBR,main_country_economy,2019-02-01,2019,2,2019-02,2020-2022,0.2,1.8,227738.4642,1.15811283,3.8
United Kingdom,GBR,main_country_economy,2019-03-01,2019,3,2019-03,2020-2022,1.2,1.8,227103.9623,1.488917027,3.8
United Kingdom,GBR,main_country_economy,2019-04-01,2019,4,2019-04,2020-2022,-3.0,2.0,228749.3498,1.256765733,3.9
United Kingdom,GBR,main_country_economy,2019-04-01,2019,4,2019-04,2020-2022,-3.0,2.0,228749.3498,1.256765733,3.8
United Kingdom,GBR,main_country_economy,2019-05-01,2019,5,2019-05,2020-2022,1.0,1.9,229061.1192,0.981887199,3.9
United Kingdom,GBR,main_country_economy,2019-06-01,2019,6,2019-06,2020-2022,-0.7,1.9,230049.0452,0.741710534,3.8
United Kingdom,GBR,main_country_economy,2019-07-01,2019,7,2019-07,2020-2022,0.3,2.0,232618.1464,0.619035766,3.8
United Kingdom,GBR,main_country_economy,2019-07-01,2019,7,2019-07,2020-2022,0.3,2.0,232618.1464,0.619035766,3.9
United Kingdom,GBR,main_country_economy,2019-08-01,2019,8,2019-08,2020-2022,-0.9,1.7,233366.1371,0.633225427,3.8
United Kingdom,GBR,main_country_economy,2019-09-01,2019,9,2019-09,2020-2022,0.6,1.7,233536.15,0.899486505,3.8
United Kingdom,GBR,main_country_economy,2019-10-01,2019,10,2019-10,2020-2022,0.5,1.5,232919.4018,0.738792672,3.8
United Kingdom,GBR,main_country_economy,2019-10-01,2019,10,2019-10,2020-2022,0.5,1.5,232919.4018,0.738792672,3.8
United Kingdom,GBR,main_country_economy,2019-11-01,2019,11,2019-11,2020-2022,-0.9,1.5,232096.426,0.813173291,3.8
United Kingdom,GBR,main_country_economy,2019-12-01,2019,12,2019-12,2020-2022,-0.4,1.4,231792.2947,0.898029112,3.9
United Kingdom,GBR,main_country_economy,2020-01-01,2020,1,2020-01,2020-2022,-0.1,1.8,231939.909,1.587904592,4.0
United Kingdom,GBR,main_country_economy,2020-01-01,2020,1,2020-01,2020-2022,-0.1,1.8,231939.909,1.587904592,4.0
United Kingdom,GBR,main_country_economy,2020-02-01,2020,2,2020-02,2020-2022,0.3,1.7,230609.0017,1.260453523,4.0
United Kingdom,GBR,main_country_economy,2020-03-01,2020,3,2020-03,2020-2022,-5.8,1.5,232683.8062,2.45695574,4.0
United Kingdom,GBR,main_country_economy,2020-04-01,2020,4,2020-04,2020-2022,-20.8,0.9,230317.758,0.685644903,4.1
