location,iso_code,location_type,date,year,quarter,quarter_label,pandemic_period,gdp_quarterly_change_percent,household_spending_value,household_spending_quarterly_change_percent,household_income_value,household_income_quarterly_change_percent
United Kingdom,GBR,main_country_economy,2018-01-01,2018,1,2018 Q1,2020-2022,0.2,342110.0,0.902224149169299,213300.0,1.567559331073102
United Kingdom,GBR,main_country_economy,2018-04-01,2018,2,2018 Q2,2020-2022,0.5,342497.0,0.11312151062523751,213389.0,0.04172526957337084
United Kingdom,GBR,main_country_economy,2018-07-01,2018,3,2018 Q3,2020-2022,0.6,345379.0,0.8414672245304339,217647.0,1.9954168209232903
United Kingdom,GBR,main_country_economy,2018-10-01,2018,4,2018 Q4,2020-2022,0.3,347475.0,0.6068695548947678,221209.0,1.6365950369175775
United Kingdom,GBR,main_country_economy,2019-01-01,2019,1,2019 Q1,2020-2022,0.6,347518.0,0.012374991006547235,221908.0,0.31599075986962555
United Kingdom,GBR,main_country_economy,2019-04-01,2019,2,2019 Q2,2020-2022,0.1,350422.0,0.8356401682790532,223793.0,0.8494511238891793
United Kingdom,GBR,main_country_economy,2019-07-01,2019,3,2019 Q3,2020-2022,0.5,349391.0,-0.29421668730844525,225571.0,0.7944841885134923
United Kingdom,GBR,main_country_economy,2019-10-01,2019,4,2019 Q4,2020-2022,0.0,347126.0,-0.6482708484191064,225972.0,0.17777107872909195
United Kingdom,GBR,main_country_economy,2020-01-01,2020,1,2020 Q1,2020-2022,-2.5,337517.0,-2.7681591122531874,228206.0,0.9886180588745509
United Kingdom,GBR,main_country_economy,2020-04-01,2020,2,2020 Q2,2020-2022,-19.4,270117.0,-19.96936450608414,221254.0,-3.046370384652463
United Kingdom,GBR,main_country_economy,2020-07-01,2020,3,2020 Q3,2020-2022,17.6,323033.0,19.5900295057327,229323.0,3.6469397163441117
United Kingdom,GBR,main_country_economy,2020-10-01,2020,4,2020 Q4,2020-2022,1.5,317786.0,-1.6242922549708543,235862.0,2.851436619963981
United Kingdom,GBR,main_country_economy,2021-01-01,2021,1,2021 Q1,2020-2022,-1.2,307037.0,-3.3824649292291036,238529.0,1.130745944662557
United Kingdom,GBR,main_country_economy,2021-04-01,2021,2,2021 Q2,2020-2022,5.6,333136.0,8.500278468067366,242636.0,1.7218032188958157
United Kingdom,GBR,main_country_economy,2021-07-01,2021,3,2021 Q3,2020-2022,0.9,341803.0,2.601640170981221,246727.0,1.6860647224649268
United Kingdom,GBR,main_country_economy,2021-10-01,2021,4,2021 Q4,2020-2022,1.3,343569.0,0.5166718840969798,250877.0,1.682021019183146
United Kingdom,GBR,main_country_economy,2022-01-01,2022,1,2022 Q1,2020-2022,0.8,345472.0,0.5538916491301602,,
