location,week_start,iso_code,country_reference,location_type,year,quarter,month,iso_week,pandemic_period,ukhsa_covid_deaths_weekly,ukhsa_hospital_admissions_weekly_sum,ukhsa_occupied_beds_weekly_avg,ukhsa_pcr_tests_weekly_sum,ukhsa_pcr_positivity_weekly_avg
England,2020-02-03,ENG,United Kingdom,england_detail,2020,1,2,6,2020-2022,,,,1333.0,0.905
England,2020-02-10,ENG,United Kingdom,england_detail,2020,1,2,7,2020-2022,,,,16758.0,0.42857142857142855
England,2020-02-17,ENG,United Kingdom,england_detail,2020,1,2,8,2020-2022,,,,17066.0,0.12714285714285714
England,2020-02-24,ENG,United Kingdom,england_detail,2020,1,2,9,2020-2022,,,,31741.0,0.5085714285714286
England,2020-03-02,ENG,United Kingdom,england_detail,2020,1,3,10,2020-2022,,,,65833.0,2.5357142857142856
England,2020-03-09,ENG,United Kingdom,england_detail,2020,1,3,11,2020-2022,,,,106688.0,8.001428571428571
England,2020-03-16,ENG,United Kingdom,england_detail,2020,1,3,12,2020-2022,,,,211109.0,14.215714285714284
England,2020-03-23,ENG,United Kingdom,england_detail,2020,1,3,13,2020-2022,,,,308101.0,27.364285714285717
England,2020-03-30,ENG,United Kingdom,england_detail,2020,1,3,14,2020-2022,,,,417646.0,38.77571428571429
England,2020-04-06,ENG,United Kingdom,england_detail,2020,2,4,15,2020-2022,,,,510935.0,39.26428571428572
England,2020-04-13,ENG,United Kingdom,england_detail,2020,2,4,16,2020-2022,,,,590098.0,32.16285714285714
England,2020-04-20,ENG,United Kingdom,england_detail,2020,2,4,17,2020-2022,,,,901143.0,23.752857142857142
England,2020-04-27,ENG,United Kingdom,england_detail,2020,2,4,18,2020-2022,,,,2019053.0,11.180000000000001
England,2020-05-04,ENG,United Kingdom,england_detail,2020,2,5,19,2020-2022,,,,2639820.0,6.627142857142857
England,2020-05-11,ENG,United Kingdom,england_detail,2020,2,5,20,2020-2022,,,,2839093.0,5.341428571428572
England,2020-05-18,ENG,United Kingdom,england_detail,2020,2,5,21,2020-2022,,,,3114150.0,4.207142857142857
England,2020-05-25,ENG,United Kingdom,england_detail,2020,2,5,22,2020-2022,,,,2898853.0,3.5300000000000002
England,2020-06-01,ENG,United Kingdom,england_detail,2020,2,6,23,2020-2022,,,,3152442.0,2.674285714285714
England,2020-06-08,ENG,United Kingdom,england_detail,2020,2,6,24,2020-2022,,,,3233219.0,2.044285714285714
England,2020-06-15,ENG,United Kingdom,england_detail,2020,2,6,25,2020-2022,,,,2847040.0,2.067142857142857
England,2020-06-22,ENG,United Kingdom,england_detail,2020,2,6,26,2020-2022,,,,2767071.0,1.7842857142857143
England,2020-06-29,ENG,United Kingdom,england_detail,2020,2,6,27,2020-2022,,,,3240381.0,1.2685714285714285
England,2020-07-06,ENG,United Kingdom,england_detail,2020,3,7,28,2020-2022,,,,3742057.0,1.03
England,2020-07-13,ENG,United Kingdom,england_detail,2020,3,7,29,2020-2022,,,,4377352.0,0.8785714285714287
England,2020-07-20,ENG,United Kingdom,england_detail,2020,3,7,30,2020-2022,,,,4358379.0,0.9257142857142856
England,2020-07-27,ENG,United Kingdom,england_detail,2020,3,7,31,2020-2022,,107.0,863.0,4779306.0,0.937142857142857
England,2020-08-03,ENG,United Kingdom,england_detail,2020,3,8,32,2020-2022,,435.0,740.2857142857143,5476496.0,0.8914285714285715
England,2020-08-10,ENG,United Kingdom,england_detail,2020,3,8,33,2020-2022,,356.0,655.1428571428571,5752087.0,1.002857142857143
England,2020-08-17,ENG,United Kingdom,england_detail,2020,3,8,34,2020-2022,,323.0,569.8571428571429,6276217.0,0.9271428571428572
England,2020-08-24,ENG,United Kingdom,england_detail,2020,3,8,35,2020-2022,,356.0,489.2857142857143,6496104.0,0.9685714285714286
England,2020-08-31,ENG,United Kingdom,england_detail,2020,3,8,36,2020-2022,,504.0,476.85714285714283,6660944.0,1.4000000000000001
England,2020-09-07,ENG,United Kingdom,england_detail,2020,3,9,37,2020-2022,,893.0,599.2857142857143,8169145.0,1.7771428571428571
England,2020-09-14,ENG,United Kingdom,england_detail,2020,3,9,38,2020-2022,,1394.0,984.4285714285714,8368680.0,1.9214285714285713
England,2020-09-21,ENG,United Kingdom,england_detail,2020,3,9,39,2020-2022,,1905.0,1547.142857142857,8743291.0,2.9499999999999997
England,2020-09-28,ENG,United Kingdom,england_detail,2020,3,9,40,2020-2022,,2549.0,2131.285714285714,9134065.0,4.61
England,2020-10-05,ENG,United Kingdom,england_detail,2020,4,10,41,2020-2022,,3687.0,3152.0,10086136.0,6.367142857142857
England,2020-10-12,ENG,United Kingdom,england_detail,2020,4,10,42,2020-2022,,5213.0,4557.0,10193571.0,7.1499999999999995
England,2020-10-19,ENG,United Kingdom,england_detail,2020,4,10,43,2020-2022,,6943.0,6566.0,10823879.0,8.377142857142857
England,2020-10-26,ENG,United Kingdom,england_detail,2020,4,10,44,2020-2022,,8682.0,9049.714285714286,10763111.0,9.177142857142856
England,2020-11-02,ENG,United Kingdom,england_detail,2020,4,11,45,2020-2022,,9294.0,11110.57142857143,11979914.0,9.084285714285715
England,2020-11-09,ENG,United Kingdom,england_detail,2020,4,11,46,2020-2022,,10808.0,12943.142857142857,12149827.0,9.637142857142857
England,2020-11-16,ENG,United Kingdom,england_detail,2020,4,11,47,2020-2022,,10010.0,14343.0,11817415.0,8.657142857142857
England,2020-11-23,ENG,United Kingdom,england_detail,2020,4,11,48,2020-2022,,8610.0,13978.42857142857,11272611.0,6.772857142857142
England,2020-11-30,ENG,United Kingdom,england_detail,2020,4,11,49,2020-2022,,8831.0,13216.42857142857,10858380.0,6.324285714285715
England,2020-12-07,ENG,United Kingdom,england_detail,2020,4,12,50,2020-2022,,10686.0,13828.0,11333274.0,7.207142857142857
England,2020-12-14,ENG,United Kingdom,england_detail,2020,4,12,51,2020-2022,,12605.0,15710.285714285714,13716861.0,9.358571428571427
England,2020-12-21,ENG,United Kingdom,england_detail,2020,4,12,52,2020-2022,,14915.0,18165.85714285714,15218380.0,11.281428571428572
England,2020-12-28,ENG,United Kingdom,england_detail,2020,4,12,53,2020-2022,,20584.0,22671.714285714286,13121194.0,17.574285714285715
England,2021-01-04,ENG,United Kingdom,england_detail,2021,1,1,1,2020-2022,5597.0,25938.0,28376.0,16468079.0,16.74857142857143
