location,date,variant,variant_percent,iso_code,country_reference,location_type,year,quarter,month,iso_week,week_start,pandemic_period
England,2021-01-04,Alpha,81.59,ENG,United Kingdom,england_detail,2021,1,1,1,2021-01-04,2020-2022
England,2021-01-04,Delta,0.03,ENG,United Kingdom,england_detail,2021,1,1,1,2021-01-04,2020-2022
England,2021-01-04,Omicron BA.1,0.22,ENG,United Kingdom,england_detail,2021,1,1,1,2021-01-04,2020-2022
England,2021-01-04,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2021,1,1,1,2021-01-04,2020-2022
England,2021-01-04,Other,18.15,ENG,United Kingdom,england_detail,2021,1,1,1,2021-01-04,2020-2022
England,2021-01-11,Alpha,83.97,ENG,United Kingdom,england_detail,2021,1,1,2,2021-01-11,2020-2022
England,2021-01-11,Delta,0.02,ENG,United Kingdom,england_detail,2021,1,1,2,2021-01-11,2020-2022
England,2021-01-11,Omicron BA.1,0.09,ENG,United Kingdom,england_detail,2021,1,1,2,2021-01-11,2020-2022
England,2021-01-11,Omicron BA.2,0.01,ENG,United Kingdom,england_detail,2021,1,1,2,2021-01-11,2020-2022
England,2021-01-11,Other,15.92,ENG,United Kingdom,england_detail,2021,1,1,2,2021-01-11,2020-2022
England,2021-01-18,Alpha,88.68,ENG,United Kingdom,england_detail,2021,1,1,3,2021-01-18,2020-2022
England,2021-01-18,Delta,0.04,ENG,United Kingdom,england_detail,2021,1,1,3,2021-01-18,2020-2022
England,2021-01-18,Omicron BA.1,0.02,ENG,United Kingdom,england_detail,2021,1,1,3,2021-01-18,2020-2022
England,2021-01-18,Other,11.26,ENG,United Kingdom,england_detail,2021,1,1,3,2021-01-18,2020-2022
England,2021-01-25,Alpha,93.54,ENG,United Kingdom,england_detail,2021,1,1,4,2021-01-25,2020-2022
England,2021-01-25,Delta,0.02,ENG,United Kingdom,england_detail,2021,1,1,4,2021-01-25,2020-2022
England,2021-01-25,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,1,1,4,2021-01-25,2020-2022
England,2021-01-25,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2021,1,1,4,2021-01-25,2020-2022
England,2021-01-25,Other,6.42,ENG,United Kingdom,england_detail,2021,1,1,4,2021-01-25,2020-2022
England,2021-02-01,Alpha,95.18,ENG,United Kingdom,england_detail,2021,1,2,5,2021-02-01,2020-2022
England,2021-02-01,Delta,0.01,ENG,United Kingdom,england_detail,2021,1,2,5,2021-02-01,2020-2022
England,2021-02-01,Omicron BA.1,0.04,ENG,United Kingdom,england_detail,2021,1,2,5,2021-02-01,2020-2022
England,2021-02-01,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2021,1,2,5,2021-02-01,2020-2022
England,2021-02-01,Other,4.77,ENG,United Kingdom,england_detail,2021,1,2,5,2021-02-01,2020-2022
England,2021-02-08,Alpha,96.71,ENG,United Kingdom,england_detail,2021,1,2,6,2021-02-08,2020-2022
England,2021-02-08,Delta,0.01,ENG,United Kingdom,england_detail,2021,1,2,6,2021-02-08,2020-2022
England,2021-02-08,Other,3.28,ENG,United Kingdom,england_detail,2021,1,2,6,2021-02-08,2020-2022
England,2021-02-15,Alpha,97.34,ENG,United Kingdom,england_detail,2021,1,2,7,2021-02-15,2020-2022
England,2021-02-15,Delta,0.01,ENG,United Kingdom,england_detail,2021,1,2,7,2021-02-15,2020-2022
England,2021-02-15,Other,2.65,ENG,United Kingdom,england_detail,2021,1,2,7,2021-02-15,2020-2022
England,2021-02-22,Alpha,97.26,ENG,United Kingdom,england_detail,2021,1,2,8,2021-02-22,2020-2022
England,2021-02-22,Delta,0.01,ENG,United Kingdom,england_detail,2021,1,2,8,2021-02-22,2020-2022
England,2021-02-22,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,1,2,8,2021-02-22,2020-2022
England,2021-02-22,Other,2.72,ENG,United Kingdom,england_detail,2021,1,2,8,2021-02-22,2020-2022
England,2021-03-01,Alpha,96.77,ENG,United Kingdom,england_detail,2021,1,3,9,2021-03-01,2020-2022
England,2021-03-01,Delta,0.04,ENG,United Kingdom,england_detail,2021,1,3,9,2021-03-01,2020-2022
England,2021-03-01,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,1,3,9,2021-03-01,2020-2022
England,2021-03-01,Other,3.19,ENG,United Kingdom,england_detail,2021,1,3,9,2021-03-01,2020-2022
England,2021-03-08,Alpha,97.42,ENG,United Kingdom,england_detail,2021,1,3,10,2021-03-08,2020-2022
England,2021-03-08,Delta,0.01,ENG,United Kingdom,england_detail,2021,1,3,10,2021-03-08,2020-2022
England,2021-03-08,Other,2.56,ENG,United Kingdom,england_detail,2021,1,3,10,2021-03-08,2020-2022
England,2021-03-15,Alpha,97.8,ENG,United Kingdom,england_detail,2021,1,3,11,2021-03-15,2020-2022
England,2021-03-15,Delta,0.06,ENG,United Kingdom,england_detail,2021,1,3,11,2021-03-15,2020-2022
England,2021-03-15,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,1,3,11,2021-03-15,2020-2022
England,2021-03-15,Other,2.14,ENG,United Kingdom,england_detail,2021,1,3,11,2021-03-15,2020-2022
England,2021-03-22,Alpha,97.92,ENG,United Kingdom,england_detail,2021,1,3,12,2021-03-22,2020-2022
England,2021-03-22,Delta,0.16,ENG,United Kingdom,england_detail,2021,1,3,12,2021-03-22,2020-2022
England,2021-03-22,Omicron BA.2,0.01,ENG,United Kingdom,england_detail,2021,1,3,12,2021-03-22,2020-2022
England,2021-03-22,Other,1.92,ENG,United Kingdom,england_detail,2021,1,3,12,2021-03-22,2020-2022
England,2021-03-29,Alpha,97.35,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-03-29,Delta,0.28,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-03-29,Other,2.37,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-04-05,Alpha,95.35,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-05,Delta,1.46,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-05,Other,3.18,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-12,Alpha,92.86,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Delta,3.23,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Omicron BA.1,0.02,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Other,3.9,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-19,Alpha,88.22,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-19,Delta,7.63,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-19,Other,4.14,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-26,Alpha,82.1,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Delta,14.3,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Omicron BA.1,0.03,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Other,3.57,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-05-03,Alpha,69.34,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-03,Delta,27.57,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-03,Other,3.1,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-10,Alpha,52.83,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-10,Delta,44.83,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-10,Other,2.34,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-17,Alpha,32.85,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-17,Delta,65.63,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-17,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
