DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2017-Q1,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2017-Q2,0.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2017-Q3,0.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2017-Q4,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2018-Q1,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2018-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2018-Q3,0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2018-Q4,-0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2019-Q1,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2019-Q2,0.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2019-Q3,-0.5,,
