DATAFLOW,LAST UPDATE,freq,unit,s_adj,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2017-Q3,1643.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2017-Q4,-1589.2,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2018-Q1,-619.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2018-Q2,439.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2018-Q3,1964.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2018-Q4,-1035.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2019-Q1,-1110.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2019-Q2,1091.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2019-Q3,2107.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2019-Q4,33.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2020-Q1,-1381.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2020-Q2,-12201.2,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2020-Q3,-4974.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2020-Q4,-12645.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2021-Q1,-12800.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2021-Q2,-6948.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2021-Q3,-291.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2021-Q4,-3087.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2022-Q1,-6418.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2022-Q2,-90.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2022-Q3,-3801.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2022-Q4,-5014.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2023-Q1,-5415.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2023-Q2,-1788.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2023-Q3,-2630.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2023-Q4,-2415.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2024-Q1,-6967.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2024-Q2,-4452.3,,
