location,lag_weeks,n,spearman_r,spearman_p,pearson_r,pearson_p
Europe,0,331,0.930181972031432,3.074819101644721e-145,0.5193887698956945,2.9085210376146225e-24
Europe,1,330,0.9252584370342868,3.959010858282937e-140,0.5151576163790943,9.15668168461468e-24
Europe,2,329,0.9140926653215261,3.1475555923624516e-130,0.50338535442665,1.5445987631228281e-22
Europe,3,328,0.8969520134451904,1.3820772222779435e-117,0.48223230715984744,1.6627453917353716e-20
Europe,4,327,0.8756158999683757,9.730232786069012e-105,0.4528986445907809,6.080160579475391e-18
Europe,5,326,0.8513428197715718,8.764092019895736e-93,0.41793914594863857,3.2549643073041353e-15
Europe,6,325,0.8261181710768941,1.850580472795949e-82,0.38066027313744566,1.2007514803642375e-12
Europe,7,324,0.8008630313954714,1.0944978480103147e-73,0.34379588440738873,2.026858124701984e-10
Europe,8,323,0.7764709757715905,2.3961563232279617e-66,0.3092428281816624,1.3791703685796892e-08
Poland,0,331,0.8422230148043494,2.7798570741327497e-90,0.7703307501599317,2.896079737302099e-66
Poland,1,330,0.8497154478029484,3.4123444536904187e-93,0.8141580659859442,1.9705451756643085e-79
Poland,2,329,0.8500413951363038,4.676033426334552e-93,0.835060772690688,7.267090436805328e-87
Poland,3,328,0.840609945966329,8.12459648229737e-89,0.8181503544745719,2.422706879552964e-80
Poland,4,327,0.8214400385167565,2.902565431654501e-81,0.7657997787057962,2.796023628530025e-64
Poland,5,326,0.7944597114104294,3.732971924853713e-72,0.68848165873381,4.0339365921453185e-47
Poland,6,325,0.7624296718602191,5.027366383156945e-63,0.6037203891301294,1.1733381083704323e-33
Poland,7,324,0.724445609386559,5.759893680520435e-54,0.5214905035139263,5.4279999471079015e-24
Poland,8,323,0.6831165720480864,9.954825076618775e-46,0.44846915371841045,2.1843329504664727e-17
United Kingdom,0,331,0.8560981523976174,2.4933538622100542e-96,0.27172474460164286,5.176444267611436e-07
United Kingdom,1,330,0.8575774139893416,1.009615571150654e-96,0.2984662465122961,3.242051575307607e-08
United Kingdom,2,329,0.8499517280521004,5.115959865610433e-93,0.3103390769719203,8.913404657564885e-09
United Kingdom,3,328,0.8350667394251636,1.3158363588209239e-86,0.30229579463186035,2.3354438087486174e-08
United Kingdom,4,327,0.815161906132116,4.5826374803396244e-79,0.2785976322160368,3.0495556054361827e-07
United Kingdom,5,326,0.7945829519547317,3.424698208481379e-72,0.24618591282128022,6.881061885382434e-06
United Kingdom,6,325,0.7721722084373609,1.3982238357764335e-65,0.21305834223884362,0.00010852378711688688
United Kingdom,7,324,0.7484312348291388,2.2111892865350904e-59,0.18499602484399813,0.0008199080521395527
United Kingdom,8,323,0.7216947995517328,3.201875569321355e-53,0.16413425276975957,0.0030913304158278025
World,0,331,0.8987062996417798,8.197849367418798e-120,0.4512555255725636,5.210284109683648e-18
World,1,330,0.8927554699160337,1.3110806060274658e-115,0.4584503730085841,1.4875555635158821e-18
World,2,329,0.8825335399664672,3.544733862130334e-109,0.4404767143222884,4.7767259898913476e-17
World,3,328,0.8698548357972224,4.587571076488201e-102,0.41273327405155513,6.354478243769301e-15
World,4,327,0.8533187223363089,6.192102653214904e-94,0.3952444575217203,1.1331810532719028e-13
World,5,326,0.8346361524646114,6.407971109595414e-86,0.3921857894555486,1.9752373282065428e-13
World,6,325,0.8152123871191967,1.3167663998546769e-78,0.36579362919924796,1.0010132868128948e-11
World,7,324,0.795991742651913,3.485618125975748e-72,0.30956372377793784,1.2629078803681536e-08
World,8,323,0.7767092057756441,2.0625383441454458e-66,0.26441115901324685,1.4379256018509586e-06
