location,lag_weeks,n,r_squared,aic,bic
Europe,1,330,0.45985515287637757,1150.7479342059928,1165.944304823835
Europe,2,329,0.4574388116700936,1149.3209993031805,1164.505230306242
Europe,3,328,0.4511949567346366,1150.1700965471537,1165.3421509806903
Europe,4,327,0.4431586196711468,1152.0047280549775,1167.1645687385665
Poland,1,330,0.6845260049252443,1285.3574161387435,1300.5537867565856
Poland,2,329,0.7167222030551577,1246.8597132907953,1262.0439442938568
Poland,3,328,0.6911965822626871,1272.181559225525,1287.3536136590617
Poland,4,327,0.6160030540522426,1340.3781520949065,1355.5379927784954
United Kingdom,1,330,0.2046426486026518,1627.4110299792046,1642.6074005970468
United Kingdom,2,329,0.2095247768263141,1621.2583006747132,1636.4425316777747
United Kingdom,3,328,0.20863753218443537,1617.5022090302105,1632.6742634637471
United Kingdom,4,327,0.20434903261963822,1615.141125242702,1630.300965926291
World,1,330,0.5535409969491539,217.32898023516032,232.5253508530024
World,2,329,0.5669753287894085,207.04379239410957,222.22802339717106
World,3,328,0.5653889461981856,208.03621517231022,223.2082696058468
World,4,327,0.5640011986038557,208.8650677656077,224.02490844919672
