dataset,column,dtype,missing_n,missing_pct,unique_n
covid_daily,human_development_index,float64,9248,100.0,0
covid_daily,weekly_icu_admissions,float64,9248,100.0,0
covid_daily,weekly_icu_admissions_per_million,float64,9248,100.0,0
covid_daily,excess_mortality,float64,8830,95.48010380622839,418
covid_daily,excess_mortality_cumulative,float64,8830,95.48010380622839,418
covid_daily,excess_mortality_cumulative_absolute,float64,8830,95.48010380622839,418
covid_daily,excess_mortality_cumulative_per_million,float64,8830,95.48010380622839,418
covid_daily,new_tests,float64,8472,91.60899653979239,776
covid_daily,new_tests_per_thousand,float64,8472,91.60899653979239,760
covid_daily,icu_patients,float64,8467,91.55493079584775,591
covid_daily,icu_patients_per_million,float64,8467,91.55493079584775,591
covid_daily,weekly_hosp_admissions,float64,8360,90.39792387543253,854
covid_daily,weekly_hosp_admissions_per_million,float64,8360,90.39792387543253,854
covid_daily,total_tests,float64,8351,90.30060553633218,897
covid_daily,total_tests_per_thousand,float64,8351,90.30060553633218,897
covid_weekly,human_development_index,float64,1324,100.0,0
covid_weekly,icu_patients,float64,1212,91.54078549848943,111
covid_weekly,icu_patients_per_million,float64,1212,91.54078549848943,112
covid_weekly,new_tests,float64,1212,91.54078549848943,112
covid_weekly,new_tests_smoothed,float64,1095,82.70392749244712,229
covid_weekly,new_tests_smoothed_per_thousand,float64,1095,82.70392749244712,229
covid_weekly,positive_rate,float64,1093,82.55287009063444,231
covid_weekly,tests_per_case,float64,1093,82.55287009063444,231
covid_weekly,total_tests,float64,1093,82.55287009063444,231
covid_weekly,total_tests_per_thousand,float64,1093,82.55287009063444,231
covid_weekly,hosp_patients,float64,1026,77.49244712990937,298
covid_weekly,hosp_patients_per_million,float64,1026,77.49244712990937,298
covid_weekly,stringency_index,float64,1010,76.28398791540786,149
covid_weekly,handwashing_facilities,float64,993,75.0,1
covid_weekly,excess_mortality,float64,906,68.42900302114803,418
eurostat_quarterly,government_debt_percent_gdp,float64,2,3.0303030303030303,56
eurostat_quarterly,government_deficit_surplus_percent_gdp,float64,2,3.0303030303030303,41
eurostat_quarterly,date,datetime64[ns],0,0.0,33
eurostat_quarterly,employment_growth_quarterly_percent,float64,0,0.0,20
eurostat_quarterly,gdp_growth_quarterly_percent,float64,0,0.0,34
eurostat_quarterly,iso_code,object,0,0.0,2
eurostat_quarterly,location,object,0,0.0,2
eurostat_quarterly,location_type,object,0,0.0,2
eurostat_quarterly,pandemic_period,object,0,0.0,2
eurostat_quarterly,quarter,int64,0,0.0,4
eurostat_quarterly,quarter_label,object,0,0.0,33
eurostat_quarterly,year,int64,0,0.0,9
mobility_daily,grocery_and_pharmacy_percent_change_from_baseline,float64,1,0.051334702258726904,167
mobility_daily,date,datetime64[ns],0,0.0,974
mobility_daily,iso_code,object,0,0.0,2
mobility_daily,iso_week,int64,0,0.0,53
mobility_daily,location,object,0,0.0,2
mobility_daily,location_type,object,0,0.0,2
mobility_daily,mobility_restriction_index,float64,0,0.0,301
mobility_daily,month,int64,0,0.0,12
