dataset,location,date_col,start,end,n_rows
covid_daily,Europe,date,2020-01-04,2026-05-03,2312
covid_daily,Poland,date,2020-01-04,2026-05-03,2312
covid_daily,United Kingdom,date,2020-01-04,2026-05-03,2312
covid_daily,World,date,2020-01-04,2026-05-03,2312
covid_weekly,Europe,week_start,2019-12-30,2026-04-27,331
covid_weekly,Poland,week_start,2019-12-30,2026-04-27,331
covid_weekly,United Kingdom,week_start,2019-12-30,2026-04-27,331
covid_weekly,World,week_start,2019-12-30,2026-04-27,331
mobility_daily,Poland,date,2020-02-15,2022-10-15,974
mobility_daily,United Kingdom,date,2020-02-15,2022-10-15,974
mobility_weekly,Poland,week_start,2020-02-10,2022-10-10,140
mobility_weekly,United Kingdom,week_start,2020-02-10,2022-10-10,140
ukhsa_daily,England,date,2020-02-08,2026-05-18,2292
ukhsa_weekly,England,week_start,2020-02-03,2026-05-18,329
variants_weekly,England,date,2021-01-04,2024-04-01,890
ons_quarterly,United Kingdom,date,2018-01-01,2022-01-01,17
ons_monthly,United Kingdom,date,2018-01-01,2022-04-01,68
eurostat_quarterly,European Union,date,2018-01-01,2026-01-01,33
eurostat_quarterly,Poland,date,2018-01-01,2026-01-01,33
