dataset,location,variable,period_1,period_2,n_period_1,n_period_2,median_period_1,median_period_2,mean_period_1,mean_period_2,mann_whitney_u,mann_whitney_p,cliffs_delta,effect_direction
covid_weekly,Europe,new_cases_per_million_7d_avg,2020-2022,2023-2026,157,174,202.34093978934789,5.26886292928795,294.59030886184627,13.852362779100227,24694.0,6.501135476880692e-37,0.8078922322278351,2020-2022 higher
covid_weekly,Europe,new_deaths_per_million_7d_avg,2020-2022,2023-2026,157,174,1.5023972603479057,0.035794739498023295,2.4447963327647857,0.11038259119947708,25376.0,2.132850207602151e-41,0.8578226810161798,2020-2022 higher
covid_weekly,Europe,people_fully_vaccinated_per_hundred,2020-2022,2023-2026,157,174,30.014381,67.044044,31.74051748343948,66.96664387931035,0.0,3.1391026185274617e-57,-1.0,2023-2026 higher
covid_weekly,Europe,total_boosters_per_hundred,2020-2022,2023-2026,157,174,1.5758799,49.90219,15.104360644585986,49.55901692528735,0.0,5.65763594796342e-57,-1.0,2023-2026 higher
covid_weekly,Poland,new_cases_per_million_7d_avg,2020-2022,2023-2026,157,174,23.794447878442952,3.484500310475145,150.92923434394112,10.191661386560442,21673.0,3.0346549582945887e-20,0.5867193791639213,2020-2022 higher
covid_weekly,Poland,new_deaths_per_million_7d_avg,2020-2022,2023-2026,157,174,0.4667975698195266,0.0058482611253015,2.809034616428008,0.05317823230133164,24703.0,1.4753831079671427e-37,0.8085511384435171,2020-2022 higher
covid_weekly,Poland,people_fully_vaccinated_per_hundred,2020-2022,2023-2026,157,174,36.218437,59.15184,29.245837020351583,59.10720762068967,0.0,7.2066421362951995e-59,-1.0,2023-2026 higher
covid_weekly,Poland,total_boosters_per_hundred,2020-2022,2023-2026,157,174,0.0,40.104836,11.568575914012738,40.07336771264367,0.0,1.4359292240487733e-60,-1.0,2023-2026 higher
covid_weekly,United Kingdom,new_cases_per_million_7d_avg,2020-2022,2023-2026,157,174,127.0883393059515,4.806652658717468,322.7096589176057,11.279240746425812,24500.0,1.0959643461987739e-35,0.7936891426898016,2020-2022 higher
covid_weekly,United Kingdom,new_deaths_per_million_7d_avg,2020-2022,2023-2026,157,174,1.5975280383344828,0.0,2.8813041010958713,0.19530469159361757,25041.5,5.917075158805272e-42,0.8333333333333334,2020-2022 higher
covid_weekly,United Kingdom,people_fully_vaccinated_per_hundred,2020-2022,2023-2026,157,174,49.467148,74.43005,37.761289003949045,74.43004999999998,1566.0,1.7392096784492682e-54,-0.8853503184713376,2023-2026 higher
covid_weekly,United Kingdom,total_boosters_per_hundred,2020-2022,2023-2026,157,174,0.0,59.217354,21.229210402547768,59.21735400000001,1566.0,1.3183697294221673e-55,-0.8853503184713376,2023-2026 higher
covid_weekly,World,new_cases_per_million_7d_avg,2020-2022,2023-2026,157,174,61.99593928075007,0.923808593292014,81.90538850318462,5.845086294611415,24989.0,8.057157977003521e-39,0.8294897137418552,2020-2022 higher
covid_weekly,World,new_deaths_per_million_7d_avg,2020-2022,2023-2026,157,174,0.7829940722678013,0.0167256519994428,0.7613997328659411,0.041791948561035845,25609.0,5.45190551568757e-43,0.8748810308221685,2020-2022 higher
covid_weekly,World,people_fully_vaccinated_per_hundred,2020-2022,2023-2026,157,174,18.573864,65.10431,27.819266675159234,64.98604356321837,0.0,2.832818062220019e-57,-1.0,2023-2026 higher
covid_weekly,World,total_boosters_per_hundred,2020-2022,2023-2026,157,174,2.047237,35.577507,9.694369661146496,35.428821189655174,0.0,6.191017132150544e-57,-1.0,2023-2026 higher
