location,model,lag_weeks,n,r_squared,param,coef,std_err_HAC,p_value_HAC,conf_low_95,conf_high_95
Poland,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.07597616144400554,const,86.41290493982004,73.75174469023935,0.24132849248006094,-58.137858450042245,230.96366832968232
Poland,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.07597616144400554,mobility_lag_1w,-2.010499111876354,3.7682780225444636,0.5936649613631225,-9.396188319797316,5.375190096044609
Poland,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.07597616144400554,stringency_lag_1w,1.3828195877914362,2.296583758287987,0.5470940957267141,-3.1184018659326593,5.884041041515532
Poland,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.06277203669601683,const,104.52858683643231,74.91412054818436,0.16292171274060763,-42.300391371501036,251.35756504436566
Poland,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.06277203669601683,mobility_lag_2w,-2.293532066666732,3.702774358259847,0.5356468995455864,-9.550836451734444,4.963772318400979
Poland,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.06277203669601683,stringency_lag_2w,0.9140738065534367,2.3021115632931495,0.6913240521248102,-3.597981945894338,5.426129559001211
Poland,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.049580272935605296,const,128.2371315073072,82.62435334719218,0.12065024906318336,-33.703625299100935,290.17788831371536
Poland,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.049580272935605296,mobility_lag_3w,-2.687967266984896,3.8077805143446923,0.48024134417858244,-10.151079936133897,4.775145402164104
Poland,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.049580272935605296,stringency_lag_3w,0.2957654193635043,2.4468253292581172,0.9037882935089008,-4.4999241024427645,5.091454941169773
Poland,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.042097763710664204,const,159.8745651057452,96.1424475976742,0.09633393500220212,-28.56116957122569,348.31029978271613
Poland,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.042097763710664204,mobility_lag_4w,-3.4439993643127926,4.1349578255174615,0.4049020856650031,-11.548367779919074,4.660369051293488
Poland,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.042097763710664204,stringency_lag_4w,-0.5874116304637811,2.7246946920526813,0.8293088672052268,-5.92771509575449,4.752891834826928
United Kingdom,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.0161570259905236,const,465.88935904253094,140.5259780042654,0.000915364689437239,190.46350326190293,741.315214823159
United Kingdom,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.0161570259905236,mobility_lag_1w,-0.32352338225806976,6.860057968612599,0.9623853532365552,-13.768989932595769,13.121943168079628
United Kingdom,cases ~ mobility_lag_1w + stringency_lag_1w,1,139,0.0161570259905236,stringency_lag_1w,-2.449568833933057,4.470018657565051,0.583692116416511,-11.210644412982637,6.311506745116523
United Kingdom,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.021112780108878404,const,496.71909999940317,145.09547906584234,0.0006184419789631766,212.33718671076684,781.1010132880394
United Kingdom,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.021112780108878404,mobility_lag_2w,3.3125611795711816,5.942973685150597,0.5772601828831431,-8.335453204393271,14.960575563535635
United Kingdom,cases ~ mobility_lag_2w + stringency_lag_2w,2,138,0.021112780108878404,stringency_lag_2w,-0.6531990816461333,4.068037786536836,0.8724331972893562,-8.626406631006372,7.320008467714105
United Kingdom,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.04559483354528038,const,536.8332143480898,155.14651251576237,0.0005398356739053233,232.75163749020277,840.9147912059768
United Kingdom,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.04559483354528038,mobility_lag_3w,8.459614043588857,5.56726431340818,0.1286296439900548,-2.452023503106288,19.371251590284004
United Kingdom,cases ~ mobility_lag_3w + stringency_lag_3w,3,137,0.04559483354528038,stringency_lag_3w,1.9270303986064694,3.7112190442350244,0.6035901902584331,-5.34682526683334,9.200886064046278
United Kingdom,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.07239610606966096,const,559.9547070066332,160.2560435870581,0.00047561761765152987,245.8586332711182,874.0507807421482
United Kingdom,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.07239610606966096,mobility_lag_4w,11.879832221621204,6.31884253786071,0.06009927316064286,-0.5048715765654599,24.264536019807867
United Kingdom,cases ~ mobility_lag_4w + stringency_lag_4w,4,136,0.07239610606966096,stringency_lag_4w,3.7182374675247294,3.8714046936468005,0.3368356932532479,-3.8695763016023212,11.30605123665178
