variant,n_weeks_reported,max_percent,date_max,first_week_above_50pct,first_week_above_80pct
Delta,72,99.88,2021-08-23,2021-05-17,2021-05-24
Alpha,47,97.92,2021-03-22,2021-01-04,2021-01-04
Omicron XBB,83,97.8,2023-07-31,2023-02-20,2023-03-27
Omicron BA.2,138,97.43,2022-04-11,2022-02-21,2022-03-07
Omicron BA.1,86,96.18,2022-01-10,2021-12-13,2021-12-20
Omicron JN.1,33,92.95,2024-03-11,2023-12-18,2024-01-22
Omicron BA.5,106,88.04,2022-08-29,2022-06-13,2022-07-11
Omicron BA.2.86,38,22.25,2023-12-11,,
Omicron BA.4,62,20.89,2022-06-13,,
Other,169,18.15,2021-01-04,,
Omicron BA.2.75,56,10.43,2022-11-07,,
